app_id,genre_1,genre_2,genre_3
25800,Strategy,,
208200,Action,,
683900,Simulation,Strategy,
423580,Simulation,Strategy,
238370,Action,Adventure,
424840,Adventure,,
115320,Action,Adventure,
259680,Adventure,Indie,RPG
237990,Indie,RPG,Strategy
659460,Action,Indie,Massively Multiplayer
410980,Strategy,,
17300,Action,,
207170,Adventure,Indie,RPG
564230,Simulation,Sports,
748370,Action,Massively Multiplayer,Simulation
3330,Casual,,
258970,Action,Adventure,RPG
32430,Action,,
592260,Design & Illustration,Early Access,
19900,Action,,
345260,Action,Strategy,
507400,Violent,Action,Indie
539440,Casual,Indie,Simulation
235460,Action,,
398850,Action,Adventure,Indie
376870,Adventure,,
757570,Violent,,
697610,Casual,Free to Play,
438140,Strategy,,
250760,Action,Adventure,Indie
314980,Indie,Simulation,Strategy
12200,Action,Adventure,
317400,Action,Adventure,Free to Play
303390,Action,Casual,Indie
463100,Adventure,Indie,
406290,Simulation,Strategy,
107100,Action,Indie,RPG
222480,Action,Adventure,
568770,Free to Play,Indie,Simulation
2600,Action,,
224900,Action,Simulation,Strategy
269470,Audio Production,Utilities,
475550,Adventure,Indie,Strategy
354830,,,
259060,Indie,Strategy,
582550,Casual,Indie,Simulation
245470,Indie,Simulation,Strategy
502370,Strategy,,
222750,Indie,Simulation,Strategy
619910,Violent,Action,Massively Multiplayer
624910,,,
495280,RPG,,
206210,Action,Free to Play,
17520,Action,Free to Play,
304240,Action,Adventure,
453980,Casual,Indie,
215930,RPG,Strategy,
18500,Indie,Strategy,
306760,Adventure,Indie,
6860,Action,,
380840,Action,Free to Play,Indie
484900,Indie,Simulation,Strategy
466910,Casual,Free to Play,
7200,Racing,,
437920,Casual,Indie,
318020,Indie,Strategy,
620130,Action,Indie,RPG
464350,Indie,Massively Multiplayer,Strategy
17430,Action,Racing,
509240,,,
502800,Action,,
621830,Racing,,
250340,Action,Indie,Simulation
23310,RPG,,
220260,Casual,Simulation,
468920,Casual,Simulation,Sports
233840,Strategy,,
633880,,,
221910,Adventure,Indie,
349720,Casual,Free to Play,Massively Multiplayer
300080,Free to Play,Strategy,
40980,Simulation,Strategy,
235380,Strategy,,
533150,,,
427730,Action,Casual,Indie
204450,Action,,
543460,Action,,
365450,Indie,Simulation,
55140,Racing,,
442120,Simulation,,
383800,Action,Indie,
426000,Indie,Simulation,
57300,Action,Adventure,Indie
250400,Action,Adventure,RPG
457730,Action,Indie,Strategy
547960,Action,Casual,Indie
385070,Adventure,Indie,RPG
552590,Adventure,Indie,
234670,Action,Adventure,
205610,Action,Simulation,Strategy
1930,RPG,,
491650,Indie,,
304410,Casual,Indie,Strategy
34440,Strategy,,
361280,Indie,Simulation,Strategy
571310,Action,Adventure,Indie
449680,Action,Casual,Indie
564310,Action,Indie,
12750,,,
441960,Indie,Simulation,
206190,Action,Indie,Strategy
579230,Casual,Indie,
458710,Indie,Strategy,
345090,Casual,Indie,Strategy
414700,Action,Adventure,Indie
100,Action,,
650000,Action,,
377310,Action,Indie,
6000,Action,,
4570,Strategy,,
264200,Action,Casual,Indie
498240,Adventure,,
9350,Strategy,,
204120,Adventure,,
225420,Simulation,Strategy,
329130,Action,Indie,Strategy
20500,Action,,
418650,Action,,
406150,Adventure,Casual,Indie
32510,Action,Adventure,
57740,RPG,Simulation,Strategy
47400,Simulation,Strategy,
246420,Action,Indie,Strategy
20570,Strategy,,
1280,Action,Simulation,
214560,Action,Adventure,Indie
431180,Indie,RPG,Simulation
675260,Adventure,,
202170,Action,Adventure,
286570,Racing,Sports,
404590,Action,RPG,
581100,Action,Adventure,Indie
397950,Action,Indie,
596650,Adventure,Free to Play,
648430,Free to Play,Strategy,
394310,Indie,RPG,Strategy
16700,Strategy,,
65540,Action,RPG,
324270,Adventure,Indie,
250520,Indie,RPG,
330840,Adventure,,
17410,Action,Adventure,
570780,RPG,,
20,Action,,
325600,,,
237930,Action,Indie,RPG
50,Action,,
442070,Casual,Indie,Strategy
568810,,,
492090,Simulation,,
55150,Action,,
578620,Action,Indie,
45740,Action,Adventure,
7610,,,
12810,RPG,,
2990,Racing,,
574810,,,
507360,Adventure,RPG,
470220,Casual,,
255480,,,
367540,,,
388750,Action,,
435030,Adventure,Casual,Free to Play
350640,Action,Adventure,
608560,,,
228260,Indie,RPG,Strategy
238260,Free to Play,Simulation,
392950,Adventure,Casual,Free to Play
3620,Action,Casual,
637100,Action,Adventure,
327400,Adventure,Simulation,
694130,Casual,Free to Play,Simulation
244030,Simulation,,
245490,Racing,,
517790,Simulation,Strategy,
311730,Action,,
410590,,,
213330,Action,Adventure,
300790,Indie,RPG,
547900,Sports,,
234080,Action,Adventure,
50300,Action,Adventure,
34830,Action,,
22600,Strategy,,
438490,Action,RPG,
422900,Indie,Simulation,Strategy
561590,Simulation,Sports,
6030,Action,,
418340,Action,Adventure,Indie
578260,,,
218510,Indie,Strategy,
12100,Action,,
